"","D-Sas4_1","D-Sas4_2","D-Sas4_3","D-Ssas6_1","D-Ssas6_2","D-Ssas6_3","SakOE_1","SakOE_2","SakOE_3","w67WT_1","w67WT_2","w67WT_3","OregonRWT_1","OregonRWT_2","OregonRWT_3"
"gfzf",5.718522468,6.039184406,5.923814271,4.937241551,4.646138147,4.644759111,4.780635048,5.159167486,5.009367955,5.395562922,5.913765343,6.602177787,5.571463583,5.608934181,5.253455592
"Sas-4",4.663498504,4.772519374,5.098978803,7.621379416,7.33573044,7.826493746,7.59369229,7.495892863,7.417931462,7.443261367,7.616104829,7.790388829,7.704127011,7.759180723,7.583342766
"lap",6.880390019,6.430462283,6.89776376,7.905916125,7.861856275,7.443522756,6.249324778,6.341943891,6.3905703,6.355958532,6.028939856,6.525596618,6.157908633,6.261228455,6.205901916
"Gld",6.229117374,6.717978434,6.680485589,5.97377249,5.898799787,6.26288343,5.40250855,5.479497841,5.319204128,6.370954004,6.655799683,6.353796893,6.378811146,5.669431584,5.720038536
"CG2993",5.253620244,4.077192001,4.772559321,4.017826393,4.019868716,3.970710452,5.75237888,5.695651006,4.686525654,3.978768261,3.978960877,3.999082395,3.598434877,3.599443945,3.598434877
"CG10445",2.549846143,2.603325594,2.591869115,2.378264332,2.378264332,2.378264332,3.385886678,3.371770216,3.371770216,2.57965159,2.57965159,2.888594738,2.376474709,2.376474709,2.376474709
"CG7900",7.352637962,7.571902743,7.42382867,7.763289717,7.737880011,7.963657088,2.192624014,2.346856749,2.180955343,7.993295168,7.794538214,7.842533627,7.727244714,7.811469692,7.801545279
"Coq2",6.712498166,7.124200071,6.75097747,6.957818063,6.947223474,6.840459078,5.81466975,5.758715717,5.732447971,6.865903427,7.087250226,6.92852487,6.71992481,6.786903255,6.951389282
"ouib",5.958132062,6.44758869,6.848617558,6.061318063,5.981408094,6.051643954,5.485653759,4.992828301,5.195352473,6.244626835,6.115679252,6.403419033,5.387712309,5.357218719,5.426815205
"CG8420",7.562016055,6.561086231,7.009231677,7.513246856,7.852182902,7.448969879,8.410980178,8.64973245,8.944462814,7.739841482,7.470773991,7.594637616,7.981612693,7.736584815,7.654655942
"CG8301",3.476220295,3.644982951,3.471298029,4.47279182,4.031025758,4.472033557,5.272538777,4.975670399,5.043152379,3.918366846,3.86726272,3.851991676,3.511474577,3.326378897,3.295949609
"alphaTub85E",5.946165622,5.944149943,5.865515239,6.319495333,6.45578198,6.336963835,8.276788522,8.62637915,9.19339434,6.118978545,5.956190203,5.85033198,6.04817939,6.388724805,6.168535102
"CG12947",5.421768926,5.660877405,5.58055666,3.372302869,3.261000856,3.386192604,3.915154364,3.902331993,4.108093124,3.703769425,3.525938,4.485533603,3.772204882,4.154202317,3.893036278
"MtnA",12.96291899,13.0174648,12.98292399,11.50335771,11.40412944,11.50421166,12.5849051,12.70370728,12.48070911,11.7828051,11.80418373,12.05817696,11.04745115,11.34285907,11.19611593
"CG8516",6.215587006,6.50225902,6.518185293,5.529330153,5.236890164,5.40567003,5.447412752,5.609092915,6.246482131,6.344622765,6.252125424,6.738986893,5.964027853,6.184171531,5.763784789
"gammaSnap2",4.721784647,4.445936676,4.75695496,4.258571164,4.213155007,4.301252069,4.485502868,4.533605574,4.095834036,4.419387188,4.446091589,4.308701355,3.545781793,3.746384812,3.561643495
"CG6293",6.105930502,6.256916246,6.175569046,5.301664327,4.673233112,5.195929672,5.44797894,4.131242701,4.431344275,5.84143459,5.336208591,6.010995165,5.297535741,4.577586541,5.450127128
"Cyp12e1",7.093356008,7.192389977,7.321018548,6.775522067,6.467588626,6.968191517,8.005269981,7.888165151,7.750437365,7.193516954,6.906467988,7.224944737,6.626481279,6.357985915,6.842884191
"TkR86C",4.170359503,4.212133974,4.213144388,3.202167605,3.29909016,2.900737195,2.511739159,2.444299236,2.556195719,4.271103175,4.125607957,4.359822725,3.971408055,4.213476725,3.978143042
"MED7",9.649463779,9.658799896,9.60002376,10.64086192,10.52921336,10.63523398,9.570602864,9.62670357,9.512781251,10.68764323,10.74467663,10.75251717,10.49470884,10.65053996,10.58698588
"Cap-H2",6.415252262,6.79022417,6.877429672,7.499030417,7.34883138,7.482759882,6.268619924,6.214713394,6.288607155,7.706525107,7.630148114,7.924540395,7.801995174,7.53424807,7.667043677
"TfIIFbeta",10.33889061,10.22373727,10.33712662,11.36948604,11.26868992,11.33398488,10.27653936,10.1881276,10.14312789,11.33708155,11.35782847,11.35831715,11.25701254,11.38112536,11.38928314
"Rbp1",7.411877806,7.712053868,7.64899677,6.263884764,6.233117939,6.281336582,7.435322525,7.487907386,7.512526282,6.589641936,6.360200568,6.497693551,6.331406002,6.333478572,6.460289347
"CG14687",10.68382448,9.758275919,10.16617429,7.804062968,7.994500031,7.715230228,10.66213276,11.11521764,11.11483799,8.29377497,7.966274475,7.988888878,7.982662651,7.764355907,7.76160954
"sals",3.357726675,3.395748457,3.359218669,3.807847926,3.732760383,3.755972713,4.122147417,4.523729161,4.278577584,3.360225122,3.571790025,3.068849384,3.080117623,2.974320197,3.067184738
"svp",8.973643314,9.00623166,8.998790237,9.038775945,9.228085018,8.880052016,7.509559288,7.383385251,7.402766387,9.008236486,8.917791131,8.898103774,8.965866662,8.851497705,8.603607152
"CG4115",7.802441447,7.763347957,7.646780941,7.783853375,8.08797442,7.866042604,6.695729533,6.501367767,6.298720324,7.736694126,7.708769413,7.645026743,7.70921642,7.867430842,7.74200938
"DNAlig3",8.333990888,8.287521051,8.342482431,6.879044262,6.813780742,6.923459883,6.907391787,6.896984788,6.826404855,7.354785526,7.180116805,7.257396947,7.212722123,7.170850786,7.093516355
"Cyp9f2",7.741277169,7.839868918,7.806866186,6.305241071,5.928190554,6.392132144,6.897643513,6.594158622,6.514672936,6.31262177,6.264234105,6.748898129,6.202784363,6.004322581,6.421512796
"pps",5.63905983,5.843141008,5.966144205,4.374043524,4.513878192,4.761012991,4.897657224,5.083663723,5.249376474,5.437418251,5.820949699,5.807512086,5.004709874,5.249512991,5.166988927
"NijC",4.873903279,4.499451446,4.886521483,3.551652778,4.037831128,3.786754036,4.723384459,4.716116117,4.830281374,4.806125598,4.923528665,4.714271653,4.142766699,4.401089362,4.767324451
"Past1",9.627619999,9.471709806,9.528207055,9.443594126,9.346721363,9.663426349,10.76913817,10.8576972,10.78593154,9.445078025,9.387561746,9.336819241,9.466477339,9.572789754,9.252231168
"CG10126",9.265686474,9.281874021,9.25998547,9.611724516,9.939041599,9.693526904,8.812264497,8.684021825,8.658436169,9.673443733,9.742259381,9.823918957,9.247362674,9.382405582,9.410894338
"yellow-f",5.797702476,3.451048715,3.596939533,2.745902695,2.929362724,2.929362724,3.014546221,3.274818111,3.99735938,3.813795618,3.912672839,3.32127379,2.867437848,2.866942388,3.086325477
"CG11668",4.745917636,4.895346197,4.819333468,2.596128851,2.575368273,2.586915566,4.804134366,3.981053368,3.670497973,3.409135605,3.70110759,3.562390791,2.786225143,2.747305451,2.747305451
"Hsc70-2",9.494396922,9.363019195,9.372992081,2.177728981,2.177728981,2.177728981,2.180955343,2.180955343,2.180955343,2.176269893,2.272271634,2.36024531,3.413736528,2.322239931,2.314858852
"sqd",10.27074935,10.24041278,10.18771238,11.666194,11.67356211,10.62832043,10.25195222,10.16537675,10.14159624,10.25621079,9.826203935,9.855402325,9.92081757,9.946796331,9.645936046
"B52",6.66770264,6.145330278,6.644157937,4.295657848,5.292867351,5.011530827,7.350810935,6.667005568,6.742965853,3.013381269,3.204899345,2.986804133,3.915106706,3.571466417,3.062642994
"CG8066",3.795846551,3.972011201,3.994287384,5.358195526,5.168748831,5.347578274,3.90157834,4.121049009,3.778358091,4.935026404,5.000274416,4.793895382,4.102290922,4.14773634,4.196757395
"Cys",9.479739502,9.538437204,9.541606629,8.475016739,8.275298163,8.299815381,8.715890157,8.775974769,8.738073424,8.408105206,8.21856005,8.390859546,8.527883247,8.118008097,8.728857401
"CG6912",4.479435849,6.656044829,6.131953316,9.091962054,8.909219498,9.079505779,4.283636713,6.07426204,3.212358442,9.211744527,9.254310295,9.454697228,9.096795255,9.162259391,9.043603743
"Mf",4.828901887,4.831033273,4.79432964,5.678655083,5.009236056,5.582057001,4.55443268,4.516475655,4.540574633,5.563170055,5.584965517,5.711927919,5.279264363,5.515914263,6.094325933
"CG5399",5.809140813,4.896789025,5.252592331,5.112285653,6.894886487,5.530614419,4.287127667,5.566149571,6.245780118,6.502871053,6.095032651,6.565464856,6.420728495,6.338741057,8.472967058
"CG10407",6.896110501,6.961992171,6.821855843,6.568610791,6.31220632,6.622601738,5.920696941,5.759146242,5.549759046,6.644803806,6.786563415,6.89136431,6.450536515,6.232701881,6.355962909
"Zip89B",3.193052092,3.247049785,3.247049785,3.480322378,3.755854452,3.345767312,4.273604791,4.255681297,4.644006763,3.291029052,3.241919015,3.494220412,3.084897315,3.144059149,3.46190048
"Irc",5.835385067,5.982931316,6.211449248,8.146734422,7.919205151,7.929726063,6.432635623,6.704976777,5.85970159,8.145161266,8.226558651,7.637580621,7.664968878,7.766211078,7.401805998
"CG18213",6.14911297,6.767864754,6.785956401,3.904983095,4.08100581,3.969826803,6.576870287,6.318881005,6.759806841,5.497093071,5.481242301,5.546268075,6.469243215,6.265619391,6.178913547
"Brf",8.007116361,7.873199617,8.185193053,7.427385298,7.469245625,7.482977516,4.938733052,4.858183664,4.646218732,7.862423003,7.805624374,7.954959759,8.35291103,8.267286567,8.247438463
"Dscam3",6.249143164,5.985267951,6.019187759,4.853775255,4.526793083,4.800679255,3.320754578,4.277165337,4.273571899,5.521808455,4.806639591,5.423692433,4.699563779,5.006483023,4.426558085
"Hmx",3.337679604,3.359889631,3.448465973,3.581526689,3.995844265,3.581526689,3.250584703,3.254858882,3.254858882,3.375866235,3.364158432,3.365989431,2.493836244,2.651754673,2.493836244
"CG43102",4.936616407,5.53784323,5.380896116,4.868165532,4.631274973,4.980175338,4.466058906,4.621061512,4.296664571,5.447712802,5.447712802,5.57624399,4.835412381,4.597804065,4.962678895
"tinc",3.711657948,3.660064686,3.871679075,2.673642208,2.673642208,2.663733784,2.902500015,3.026665707,3.026665707,3.711657948,3.711657948,3.711657948,3.579610732,3.579610732,3.596582764
"CG18599",3.119769347,3.204352875,3.116941614,4.867505924,4.892692598,4.986225062,4.770593617,4.853298917,4.643259794,4.745848897,4.318143068,3.718924575,4.147193239,3.95514898,4.07394356
"CG31235",4.474161297,4.297929072,4.314224169,4.900054761,4.853438,4.87518445,4.428643636,4.543345268,4.668200451,4.538839592,4.788693544,4.531347352,5.382809156,5.54490616,6.028421891
"fru",4.956943742,4.714159254,5.609108318,4.23637389,3.712472592,3.290849988,3.523986674,2.395819722,2.615875482,2.921155271,2.572242619,3.192929198,3.871714107,3.673256992,3.720184878
"CG7720",7.69038834,7.07310339,7.140132481,8.510932329,8.76725338,8.445070982,8.714614594,8.90444887,8.888168992,8.872397627,8.62827342,8.598188334,8.336387394,8.688296745,8.359493002
"Cyp12a4",4.177433581,4.874832045,4.841074002,3.872571019,3.857650121,3.927592902,3.745341826,3.509284258,3.134994561,4.517971457,4.290101824,4.723009076,4.192194869,3.692802487,4.158022842
"CG13857",4.050821355,4.49600699,3.580891012,6.136720458,5.35019963,5.389172061,6.253318374,5.214676231,5.509559593,5.202327297,5.491418625,5.209945258,4.503725399,4.549754505,4.802243049
"lqfR",4.207581424,4.087579439,4.41329351,3.203607799,3.222753212,3.075641981,3.139499517,3.173405263,3.459699633,3.989921604,3.245425353,4.378459494,4.032171098,4.317910091,4.240523564
"CG45049",5.727029586,5.445144104,6.368247448,4.443491286,3.8372033,4.253554614,4.254491533,4.200332866,4.198939552,4.768238712,4.609762036,4.560731923,4.586026291,4.208506782,4.764616535
"CG6660",3.569474511,4.369589988,4.631487193,5.625627448,6.668775935,5.963106672,3.963949495,2.956979681,4.23424279,5.020917553,6.282921265,6.122095552,4.462596239,4.545473633,4.448829533
"Cow",5.197368227,4.884170766,5.451389904,6.6111006,6.167967135,5.243651012,5.150512573,5.246980674,4.991022307,5.279290347,4.833577796,4.954985324,4.847790348,4.653107764,4.903371317
"GILT3",7.211883749,6.451828655,7.227913156,2.614249357,2.656559234,2.616706163,2.812079085,2.803404163,2.805155543,3.946473099,3.542572519,3.621692169,3.587250766,3.397561665,3.770230677
"sosie",4.841557038,5.253873678,5.202857927,3.958347867,3.83449934,4.140603684,5.108273098,4.68057182,4.226782492,5.164442807,5.25856704,5.202857927,5.072983632,5.168363338,4.670240474
"Elal",3.000526875,3.229046051,3.350631198,2.78839433,2.774181927,2.85001742,4.196734213,3.550822295,3.175434255,3.260908664,3.213168276,2.750252744,3.973354323,3.88602769,4.356512846
"CG10550",3.76605352,4.850678746,4.776299837,3.689514305,2.742144834,3.639679221,3.528426774,2.955918905,2.478784815,4.661187198,4.254897589,4.701696687,3.353502128,3.264801585,3.500137529
"CG10669",3.883306283,3.878698853,3.878698853,3.182318048,3.143722804,3.164805193,2.816464168,2.515314827,2.832940015,3.878698853,3.872939565,3.878698853,4.107634766,4.131804827,4.125267827
"Tl",3.744989253,3.475273755,3.863535311,2.638297241,2.679989495,2.638297241,2.989245564,3.028005854,3.742103904,3.297472121,3.27328925,3.27328925,2.410733487,2.441242674,2.592585594
"eater",7.453913876,5.535676492,5.695918208,4.295514644,4.459364271,4.641012812,5.404097379,5.404097379,5.820891728,5.535676492,5.099650597,5.39983724,5.18135155,4.644058069,5.024355241
"grass",7.578069099,7.273056496,7.646859522,6.910552639,6.979829752,6.981078646,7.740979462,8.804016506,9.465454482,7.139651945,7.214356624,6.985758016,7.050001289,7.168386175,6.912369296
"Tusp",4.547124016,4.673427818,4.769696467,4.106985751,3.655338396,3.388056804,3.515304812,3.986633266,3.98873469,4.663611251,4.68597715,5.005727002,3.771844347,4.171343242,3.637618937
"unc80",3.46571495,3.570278657,3.704075505,2.693632644,2.595795989,2.802082881,2.635344757,2.636339847,2.632983521,3.522031229,3.614799615,3.955294562,3.293411959,3.284660568,3.276276016
"Nepl21",4.530884563,3.90318163,4.222060122,3.932807951,3.862005009,3.538980292,4.695966277,5.221932464,5.108311065,4.793195453,4.283891142,3.97070759,3.81904248,4.076198722,3.677811989
"wat",5.181627823,4.78138169,5.535909402,5.207341556,5.263771767,5.154115509,5.056852164,5.052119963,5.266205682,5.215189248,5.22332923,5.183273367,4.284946577,4.263356088,3.696219652
"Sas-6",7.359966684,7.798255946,7.705371491,3.312471157,3.18744345,3.140010137,7.527852353,7.608235781,7.314719161,7.6342908,7.746465515,7.81967217,7.613190002,7.637416005,7.712344704
"CG15531",2.321139225,2.52254271,2.337841157,3.756346201,4.990021725,4.277282296,2.406909392,2.39911133,2.434281367,2.45886591,3.80775729,2.994736678,2.251330358,2.197739001,2.197870308
"nej",3.736566321,3.582236405,4.074760386,5.176110156,5.385490888,7.274183826,3.597635079,3.605558933,3.597635079,3.717184871,3.78638182,3.63535584,4.195380015,4.289351083,4.194225811
"cas",7.874920004,8.63265105,8.594914006,8.441908052,7.975028881,8.176882244,7.723089666,7.39782762,7.322640355,8.655367035,8.477570315,8.75549854,8.221724553,8.130163703,8.304661458
"bgm",3.044076681,3.005968706,3.018080854,3.420507522,3.470203827,3.415643593,3.979335423,4.47906752,4.769778325,3.324848158,3.044081639,3.044076681,3.822696452,4.415352322,3.624969896
"Cbp80",8.094497445,8.624976499,8.233233509,8.409064152,8.784718249,8.213949591,8.378367302,8.276710971,8.255680149,8.305621704,8.528425796,7.94352255,7.488984045,7.518630094,7.193656365
"lola",5.027285853,5.097794916,5.112100145,4.140841733,4.113351142,4.084181662,4.941304051,4.987704901,4.952326207,5.088497998,5.082943859,5.227634539,4.736580207,4.695837177,4.733036483
"DNApol-alpha60",7.301687604,7.5050347,7.537861345,7.192412505,7.121649998,7.202875207,6.505326246,6.495134031,6.381526226,7.367525021,7.130853489,7.378986291,7.618230397,7.507577038,7.491940756
"Eip93F",4.049324063,4.023286563,4.03366818,3.196303316,3.220428857,3.093492047,3.543405314,3.464277906,3.464277906,4.023286563,4.023286563,3.968529914,3.031574586,3.031574586,2.57700147
"Lcp65Af",3.557273953,3.581981997,3.933301735,3.059172017,3.123694965,3.135539242,2.626867052,2.471330315,2.3504719,3.650788004,3.546395889,3.767662616,3.89330173,3.034536751,3.815593587
"Spn43Ab",3.335785987,3.644135309,3.689332553,3.089398543,2.425190158,3.314798891,3.642192991,3.118665154,3.121382325,3.124437684,3.612328138,3.657722768,4.015596527,4.020250309,3.973217672
"dib",5.552105495,6.301855327,6.282312036,6.145935463,5.570119865,6.315067562,4.957447581,5.58687116,5.214204783,6.698168039,6.492866095,6.254183309,5.935254119,6.177955423,6.314334317
"fz",2.924586027,2.393702885,4.234128639,2.183016072,2.183016072,2.183016072,2.773095219,3.545541202,4.913078927,2.294984935,2.294984935,2.294984935,2.273700569,2.415947333,2.294345022
"trol",8.186256286,7.634495086,8.130388539,7.525018495,7.200884595,6.939971692,6.72559669,6.694722288,6.653473398,7.011656636,6.706001706,6.941318232,6.522136572,6.633383243,6.328206877
"Cyp4p1",6.326739176,7.179362672,7.361432211,7.295913532,7.930246441,7.622343036,8.07031403,7.708161894,7.874224822,8.448448639,8.692806997,8.739386937,8.319522226,8.041732293,8.065410215
"Pdp1",4.852602461,5.385173744,5.036689197,4.264969721,4.617504881,4.066425705,4.670973552,4.546313601,4.471485634,3.914606873,3.549075603,4.076943058,4.458330567,3.47751517,2.745641593
"Ccs",4.275177117,4.297611021,4.280665406,3.596043874,3.586318011,3.436428107,3.319262909,3.470091526,3.320698304,4.274571687,4.275402302,4.274638957,4.325831323,4.519446106,4.347630984
"l(2)03659",3.796651648,3.690878087,3.570235885,3.73368285,2.770071944,3.320050464,2.765435129,2.59571915,2.771261831,2.237183117,2.205141551,2.237183117,2.429035922,2.429035922,2.415132279
"GstD3",11.07945833,11.18440574,11.10758025,10.14127606,10.27325951,10.18556159,9.900114589,9.82850096,9.714503695,9.879377173,9.951375619,10.03598418,10.12509573,10.07446418,9.992754014
"Hrb87F",11.51229446,11.89671114,12.01694064,13.12565338,13.12077283,13.13613357,12.78607143,12.8831446,12.86863208,13.35165313,13.21680898,13.29094122,13.12576199,13.30562151,13.26801982
"CG45263",5.295382151,5.22253326,5.4437845,3.961308345,3.396471726,3.935294882,3.868511472,4.030809746,4.275089546,4.942465344,5.226857576,5.558678021,4.338735597,4.902884324,3.778708004
"CG13631",6.319668138,7.024090675,6.685789748,6.321956921,6.387748494,6.787016963,6.233893274,5.811723158,5.139170828,6.555645846,6.806543402,7.084841303,6.4389599,6.02540224,6.35474117
"CG13053",5.988899371,5.287205933,6.354549802,6.183968712,6.923087188,6.455586896,7.791945323,7.78653433,8.066557718,6.971811034,6.846215789,6.62021688,7.119748227,6.958903193,6.597084938
"Nplp2",6.854465422,5.297639385,3.963891555,3.238276449,3.449344783,3.521821622,4.851135664,4.655986536,4.043025087,5.250403791,3.554206242,4.776709491,3.790457924,3.002934231,3.672006837
"CG8012",4.506212488,4.218977812,5.311856341,4.625834818,4.970382722,5.310342257,5.808031702,6.11178772,5.864497633,5.770735449,5.590161999,6.35555693,5.469421779,4.781921025,5.70942917
"Ugt302K1",9.543043031,9.472454586,9.587025359,7.5045023,7.802740607,7.681979409,7.920186889,7.838540083,7.834670202,7.92131522,7.636060018,7.684235833,7.458523086,7.512070394,7.623343143
"Drgx",3.215376384,3.064306438,3.232562778,2.987038058,2.932139076,2.83785403,2.384358916,2.383150417,2.383879106,3.424457768,2.832726586,3.296970759,3.464486852,3.768765908,3.464486852
"CG34232",8.844370745,8.61766355,9.062430253,8.106736835,7.734073106,7.840713449,8.535864364,8.358498943,8.234090163,8.382172726,8.235922668,8.437272344,7.868690772,7.855416488,7.749652922
"Nox",5.42238316,5.64273325,5.612549921,4.536914172,4.409479199,4.704500997,4.455818678,4.446912254,4.359586185,5.127073785,5.417536932,5.454895001,4.499473692,4.48200682,4.440623485
"bma",4.959214496,4.898894059,5.680733734,5.5739323,5.497126974,5.748865785,4.374280506,4.267138618,3.672096139,5.863602882,5.823563073,5.816377853,5.213546117,5.596710674,5.528893458
"CG34247",7.637438144,6.719253953,7.187784941,6.671698534,8.110370368,7.253987496,8.174600513,8.654203019,9.207122862,7.72787831,7.745296529,8.184568606,7.398351725,7.580599312,7.115685415
"futsch",9.67897347,9.53874047,9.640312568,9.953136173,9.536273718,9.877073139,9.567775836,9.58972398,9.460587055,9.613966358,9.371891299,9.563222186,8.759733476,8.711852028,8.790423058
"CG34166",4.541315441,3.73755238,3.716922544,2.917755269,2.942298515,2.650512731,3.078550551,3.07167455,3.082046107,3.672113234,3.713073432,4.679593831,2.618326185,3.394513432,2.913548008
"nvd",7.187170049,8.009488815,8.191728224,8.53758279,8.39791818,8.767953903,7.771189371,7.454030118,7.095042721,8.830430378,8.888845171,8.895341017,8.382378331,8.629518253,8.855539748
"natalisin",3.600515888,3.740905518,3.600837985,2.464442684,2.36228517,2.591795524,2.670950579,2.670950579,2.670950579,3.600837985,3.600837985,3.600837985,3.386287605,3.386287605,3.386287605
"CG42259",8.149148323,8.301593445,8.266906608,8.047533757,7.744700417,8.184054553,7.861702065,7.997573949,7.908430093,8.129403989,8.212546122,8.571621366,6.953311801,6.903587636,6.73098807
